airport_name,far_description,investigation_type,report_status,longitude,total_minor_injuries,number_of_engines,registration_number,total_serious_injuries,publication_date,airport_code,air_carrier,location,aircraft_category,schedule,accident_number,latitude
KERRVILLE,,Accident,Probable Cause,,0.0,1.0,N6785F,0.0,10-03-1988,ERV,,"KERRVILLE, TX",,,FTW87FA078,
MASON CITY MUNI.,,Accident,Probable Cause,,0.0,1.0,N56285,0.0,29-11-1988,MCW,,"MASON CITY, IA",,,MKC87LA062,
BRANDON,,Accident,Probable Cause,,0.0,1.0,N1352D,0.0,30-03-1988,X18,,"BRANDON, FL",,,MIA87LA110,
LARKIN,,Accident,Probable Cause,,0.0,1.0,N8883M,0.0,25-04-1988,28J,,"PALATKA, FL",,,MIA87LA109,
SKWENTNA,,Accident,Probable Cause,,0.0,1.0,N9618H,0.0,09-05-1988,SKW,,"SKWENTNA, AK",,,ANC87LA053,
SCOTTSDALE,,Accident,Probable Cause,,0.0,1.0,N2256M,0.0,26-05-1989,SDL,,"SCOTTSDALE, AZ",,,LAX87FA147,
,,Accident,Probable Cause,,0.0,2.0,N314SW,1.0,09-05-1988,,,"MIDLAND, TX",,SCHD,FTW87LA082,
NEW JACKSON COUNTY ARPT,,Accident,Probable Cause,,0.0,1.0,N1389X,1.0,30-03-1988,,,"ESCATAWPA, MS",,,MIA87LA113,
SARASOTA-BRADENTON,,Accident,Probable Cause,,0.0,1.0,N218JA,0.0,25-04-1988,SRQ,,"SARASOTA, FL",,,MIA87LA111,
DELAWARE COUNTY,,Accident,Probable Cause,,0.0,1.0,N7757U,0.0,30-03-1988,MIE,,"MUNCIE, IN",,,CHI87LA096,
,,Accident,Probable Cause,,0.0,1.0,N5393P,0.0,16-06-1989,,,"JAMESTOWN, CA",,,LAX87FA149,
,,Accident,Probable Cause,,0.0,1.0,N8698T,0.0,30-03-1988,,,"BRANFORD, FL",,,MIA87LA112,
,,Accident,Probable Cause,,0.0,1.0,N97115,0.0,08-11-1988,,,"RIO VISTA, CA",,,LAX87LA148,
,,Accident,Probable Cause,,0.0,1.0,N9522F,0.0,30-03-1988,,,"SOUTH BEND, IN",,,CHI87LA098,
FAIRBANKS INT'L ARPT,,Accident,Probable Cause,,0.0,1.0,N3008Z,0.0,10-03-1988,FAI,,"FAIRBANKS, AK",,,ANC87LA052,
,,Accident,Probable Cause,,0.0,1.0,N9AR,1.0,30-03-1988,,,"VALDEZ, AK",,,ANC87FA051,
WALLA WALLA CITY COUNTY,,Accident,Probable Cause,,0.0,2.0,N4549Q,0.0,27-05-1988,ALW,"Richardson Aviation, Inc.","WALLA WALLA, WA",,NSCH,SEA87FA064,
MISSOULA,,Accident,Probable Cause,,0.0,2.0,N3529W,0.0,02-05-1988,MSO,"Bighorn Airways, Inc.","MISSOULA, MT",,NSCH,DEN87LA067A,
,,Accident,Probable Cause,,0.0,1.0,N5504L,0.0,31-03-1989,,,"ATTICA, IN",,,CHI87FA099,
NORTH LAS VEGAN AIR TERM.,,Accident,Probable Cause,,0.0,1.0,N457AF,0.0,02-05-1988,VGT,,"LAS VEGAS, NV",,,SEA87LA065,
,,Accident,Probable Cause,,0.0,1.0,N6446W,0.0,21-03-1988,,,"ELK GROVE, CA",,,LAX87LA150,
GIRDWOOD,,Accident,Probable Cause,,0.0,1.0,N1472C,0.0,21-03-1988,AQY,,"GIRDWOOD, AK",,,ANC87LA055,
MISSOULA,,Accident,Probable Cause,,0.0,2.0,N124AV,0.0,02-05-1988,MSO,Big Sky Airlines,"MISSOULA, MT",,SCHD,DEN87LA067B,
,,Accident,Probable Cause,,0.0,1.0,N13766,0.0,06-10-1988,,,"WASSAIC, NY",,,NYC87FA114,
,,Accident,Probable Cause,,0.0,,N3750D,1.0,21-03-1988,,,"PHOENIX, AZ",,,LAX87LA160,
,,Accident,Probable Cause,,2.0,3.0,XAHOH,1.0,03-07-1989,,Mexicana Airlines (dba: Mexicana Airlines),"CHARLESTON, SC",,SCHD,BFO87DIG02,
STAR MILL,,Accident,Probable Cause,,0.0,1.0,N6798Q,0.0,07-10-1988,,,"REUBENS, ID",,,SEA87LA067,
,,Accident,Probable Cause,,0.0,1.0,N1601Y,0.0,16-06-1989,,,"PHOENIX, AZ",,,LAX87LA157,
PALM SPRINGS,,Accident,Probable Cause,,0.0,1.0,N759V,0.0,21-03-1988,PSP,,"PALM SPRINGS, CA",,,LAX87LA152,
SHANNONS POND,,Accident,Probable Cause,,0.0,1.0,N3439D,0.0,07-06-1988,0Z3,,"DILLINGHAM, AK",,,ANC87LA054,
,,Accident,Probable Cause,,0.0,1.0,N64728,0.0,02-05-1988,,(dba: West Isle Air),"LOPEZ ISLAND, WA",,NSCH,SEA87LA066,
KVUE HELIPORT,,Accident,Probable Cause,,0.0,1.0,N666TV,0.0,02-05-1988,60TA,,"AUSTIN, TX",,,FTW87LA077,
LAWRENCE,,Accident,Probable Cause,,2.0,2.0,N200FD,0.0,31-08-1988,LWM,,"LAWRENCE, MA",,NSCH,NYC87LA113,
RUTLAND,,Accident,Probable Cause,,0.0,2.0,N2083K,0.0,25-10-1988,RUT,,"RUTLAND, VT",,,NYC87LA112,
,,Accident,Probable Cause,,0.0,1.0,N726FL,2.0,25-04-1988,,,"MIAMI, FL",,,MIA87FA114,
,,Accident,Probable Cause,,4.0,1.0,N8105G,2.0,08-08-1989,,,"PRESCOTT, AZ",,,LAX87FA151,
FRANKFORT,,Accident,Probable Cause,,0.0,1.0,N5251B,0.0,21-03-1988,FFT,,"FRANKFORT, KY",,,ATL87LA092,
,,Accident,Probable Cause,,0.0,1.0,N18879,0.0,03-06-1988,,,"SEMORA, NC",,,ATL87FA088,
LINDEN,,Accident,Probable Cause,,1.0,1.0,N3630L,0.0,03-07-1989,9G2,,"LINDEN, MI",,,CHI87DEC02,
MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N67SH,0.0,02-05-1988,H37,,"SPRINGDALE, AR",,,MKC87LA063,
,,Accident,Probable Cause,,0.0,,N40968,8.0,10-03-1988,,,"PARK CITY, UT",,,DEN87FA069,
BERRY HILL,,Accident,Probable Cause,,0.0,1.0,N14QP,1.0,31-08-1988,4AO,,"STOCKBRIDGE, GA",,,ATL87LA094,
DU BOIS-JEFFERSON COUNTY,,Accident,Probable Cause,,0.0,1.0,N67911,0.0,11-01-1989,DUJ,,"DU BOIS, PA",,,NYC87LA111,
,,Accident,Probable Cause,,2.0,1.0,N9504Y,0.0,02-05-1988,,,"OXFORD, MS",,,MIA87LA115,
ODESSA/SCHLEMEYER,,Accident,Probable Cause,,0.0,1.0,N62462,0.0,30-03-1988,E02,,"ODESSA, TX",,,FTW87GA083,
MERRILL MUNI,,Accident,Probable Cause,,0.0,1.0,N25333,0.0,05-07-1988,RRL,,"MERRILL, WI",,,CHI87LA102,
,,Accident,Probable Cause,,1.0,1.0,N2948R,0.0,09-05-1988,,,"DARIEN, GA",,,ATL87LA089,
GARDEN CITY MUNI,,Accident,Probable Cause,,0.0,2.0,N2600S,0.0,25-01-1989,GCK,,"GARDEN CITY, KS",,,MKC87FA064,
,,Accident,Probable Cause,,0.0,0.0,N60765,1.0,10-03-1988,,,"MONTVALE, VA",,,BFO87DID02,
,,Accident,Probable Cause,,0.0,1.0,N88929,0.0,25-04-1988,,,"HOMOSASSA, FL",,,MIA87LA116,
,,Accident,Probable Cause,,0.0,1.0,N3655G,0.0,14-02-1989,,,"EL DORADO, OK",,UNK,FTW87DPJ06,
CAVERN CITY,,Accident,Probable Cause,,0.0,1.0,N6285Q,0.0,10-03-1988,CNM,,"CARLSBAD, NM",,,DEN87LA070,
CEASAR CREEK,,Accident,Probable Cause,,0.0,0.0,N2959H,0.0,09-05-1988,,,"WAYNESVILLE, OH",,,ATL87LA093,
BELLEFONTAINE MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N90398,0.0,10-03-1988,7I7,,"BELLEFONTAINE, OH",,,ATL87LA091,
RAINEY FIELD,,Accident,Probable Cause,,1.0,1.0,N99436,1.0,10-03-1988,,,"COTTONDALE, AL",,,ATL87LA090,
,,Accident,Probable Cause,,0.0,1.0,N8888M,0.0,07-06-1989,,,"CAMP PENDLETON, CA",,,LAX87FA153,
ANTIOCH,,Accident,Probable Cause,,0.0,1.0,N37838,0.0,09-05-1988,012,,"ANTIOCH, CA",,,LAX87DVD02,
,,Incident,Probable Cause,,0.0,2.0,N409AA,0.0,10-07-1989,,,"MINNEAPOLIS, MN",,SCHD,CHI87IA100,
,,Accident,Probable Cause,,2.0,1.0,N2439T,0.0,16-06-1989,,,"ANZA, CA",,,LAX87LA155,
LARIMORE,,Accident,Probable Cause,,0.0,1.0,N1725F,0.0,05-07-1988,ND31,,"LARIMORE, ND",,,DEN87LA071,
,,Incident,Probable Cause,,0.0,1.0,N98763,0.0,01-09-1989,,,"NEOSHO, MO",,,MKC87IA066,
MEMORIAL,,Accident,Probable Cause,,0.0,2.0,N38077,0.0,02-05-1988,M48,,"HOUSTON, MO",,,MKC87LA065,
DALLAS/FT. WORTH,,Accident,Probable Cause,,0.0,2.0,N73107,0.0,10-03-1988,DFW,,"DALLAS, TX",,SCHD,FTW87FA080,
WILLISTON MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N2484V,1.0,05-07-1988,X60,,"WILLISTON, FL",,,MIA87FA118,
,,Accident,Probable Cause,,0.0,2.0,N7603Q,0.0,07-06-1989,,,"HALF MOON BAY, CA",,,LAX87FA156,
O'HARE INTL,,Accident,Probable Cause,,5.0,3.0,N128AA,1.0,08-11-1988,ORD,American Airlines,"CHICAGO, IL",,SCHD,CHI87MA101,
GREELEY-WELD,,Accident,Probable Cause,,0.0,1.0,N8793V,0.0,09-05-1988,GXY,,"GREELEY, CO",,,DEN87LA072,
SHELBYVILLE MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N19984,0.0,30-03-1988,35M,,"SHELBYVILLE, IN",,,CHI87LA103,
,,Incident,Probable Cause,,0.0,3.0,N151AA,0.0,10-07-1989,,"American Airlines, Inc.","TUBA CITY, AZ",,SCHD,SEA87IA068,
GAINESVILLE,,Accident,Probable Cause,,0.0,1.0,N6143P,2.0,05-07-1988,GNV,,"GAINESVILLE, FL",,,MIA87LA119,
WAHPETON HARRY STERN,,Accident,Probable Cause,,0.0,1.0,N6550U,0.0,09-05-1988,D63,,"WAHPETON, ND",,,DEN87LA073,
FAIRFIELD COMPANY,,Accident,Probable Cause,,0.0,1.0,N6990V,0.0,10-03-1988,FDW,,"WINNSBORO, SC",,,ATL87LA098,
TOCCOA,,Accident,Probable Cause,,0.0,1.0,N3042U,0.0,21-03-1988,TOC,,"TOCCOA, GA",,,ATL87LA097,
OWENSBORO,,Accident,Probable Cause,,0.0,1.0,N757LM,0.0,09-05-1988,OWB,,"OWENSBORO, KY",,,ATL87LA096,
,,Accident,Probable Cause,,0.0,1.0,N6699Z,0.0,10-03-1988,,,"BAINBRIDGE, GA",,,ATL87LA095,
,,Accident,Probable Cause,,1.0,,N1521G,0.0,09-05-1988,,,"PARK CITY, UT",,,DEN87LA074,
RIVERSIDE,,Accident,Probable Cause,,0.0,1.0,N26CK,0.0,07-06-1989,RAL,,"RIVERSIDE, CA",,,LAX87LA158,
EAGLE COUNTY,,Accident,Probable Cause,,0.0,2.0,N31SK,0.0,16-06-1989,EGE,,"EAGLE, CO",,,FTW87NA086,
ROBERT W. DEAN,,Accident,Probable Cause,,0.0,1.0,N320HP,1.0,02-05-1988,,,"CLAREMORE, OK",,,FTW87DPJ05,
MT VERNON,,Accident,Probable Cause,,0.0,1.0,N2820S,0.0,07-06-1989,MVN,,"MOUNT VERNON, IL",,,CHI87FA133,
,,Accident,Probable Cause,,0.0,1.0,N452BH,0.0,06-10-1988,,,"FRANKFORT, IL",,,CHI87FA104,
,,Accident,Probable Cause,,0.0,1.0,N654Y,0.0,02-05-1988,,,"SHELBYVILLE, TN",,UNK,ATL87LA099,
MEDFORD,,Accident,Probable Cause,,0.0,1.0,N4878V,0.0,02-05-1988,MFR,,"MEDFORD, OR",,,SEA87LA069,
HANSCOM FIELD,,Accident,Probable Cause,,0.0,2.0,N40958,0.0,07-10-1988,BED,,"BEDFORD, MA",,,NYC87LA115,
SAN LUIS OBISPO,,Accident,Probable Cause,,0.0,1.0,N9306W,0.0,02-05-1988,SBP,,"SAN LUIS OBISPO, CA",,,LAX87LA163,
COLUMBUS,,Accident,Probable Cause,,0.0,1.0,N6050V,0.0,09-05-1988,6S3,,"COLUMBUS, MT",,,DEN87LA075,
,,Accident,Probable Cause,,0.0,1.0,N3643Y,0.0,19-05-1989,,,PONCH,,,MIA87LA120,
GEORGETOWN SUSSEX COUNTY,,Accident,Probable Cause,,0.0,2.0,N2221E,0.0,31-08-1988,GED,,"GEORGETOWN, DE",,,ATL87FA100,
SEATTLE SKYPORT,,Accident,Probable Cause,,0.0,0.0,N33924,0.0,09-05-1988,3WA1,,"ISSAQUAH, WA",,,SEA87LA071,
SPORTSMAN,,Accident,Probable Cause,,0.0,1.0,N4298T,0.0,10-03-1988,2S6,,"NEWBERG, OR",,,SEA87LA070,
,,Accident,Probable Cause,,0.0,1.0,N6978F,0.0,10-03-1988,,,"FREMONT, MO",,,MKC87LA068,
,,Accident,Probable Cause,,0.0,1.0,N12497,0.0,30-03-1988,,,"CLARKSDALE, MS",,,MIA87LA132,
VENICE MUNICIPAL,,Accident,Probable Cause,,0.0,2.0,N3304X,0.0,25-04-1988,VNC,,"VENICE, FL",,,MIA87LA121,
AGUA DULCE AIRPARK,,Accident,Probable Cause,,0.0,2.0,N223H,0.0,16-06-1989,L70,,"AGUA DULCE, CA",,,LAX87LA166,
FRANKLIN,,Accident,Probable Cause,,0.0,1.0,N9GD,0.0,30-03-1988,Q53,,"FRANKLIN, CA",,,LAX87LA159,
,,Accident,Probable Cause,,0.0,1.0,N282A,0.0,17-02-1989,,,"FOUNTAIN HILLS, AZ",,,LAX87DUJ04,
PALESTINE MUN,,Accident,Probable Cause,,1.0,1.0,N22064,0.0,02-05-1988,PSN,,"PALESTINE, TX",,,FTW87LA085,
,,Accident,Probable Cause,,0.0,1.0,N2946Y,0.0,02-05-1988,5F9,,"MANY, LA",,,FTW87LA084,
MIDLAND REGIONAL,,Accident,Probable Cause,,0.0,1.0,N51JR,0.0,09-05-1988,MAF,,"MIDLAND, TX",,,FTW87DQG01,
CAVALIER MUNICIPAL,,Accident,Probable Cause,,1.0,1.0,N2848V,0.0,05-07-1988,ND06,,"CAVALIER, ND",,,DEN87LA076,
CHISHOLMHIBBING,,Accident,Probable Cause,,0.0,1.0,N1156H,0.0,30-03-1988,H1B,,"HIBBING, MN",,,CHI87LA105,
,,Accident,Probable Cause,,1.0,1.0,N90153,3.0,15-11-1989,,"Kona Helicopters, Inc.","KONA, HI",,NSCH,LAX87LA161,
CLOW INT'L,,Incident,Probable Cause,,0.0,1.0,N4211Q,0.0,10-07-1989,1C5,,"PLAINFIELD, IL",,,CHI87IA110,
,,Accident,Probable Cause,,0.0,2.0,N230EA,1.0,07-06-1989,,,"INDIANAPOLIS, IN",,SCHD,CHI87FA106,
,,Accident,Probable Cause,,0.0,1.0,N1374J,0.0,19-05-1989,,,"DOVER, DE",,,BFO87LA028B,
,,Accident,Probable Cause,,0.0,2.0,N5216Y,0.0,19-05-1989,,,"DOVER, DE",,,BFO87LA028A,
,,Incident,Probable Cause,,0.0,2.0,N4GH,0.0,10-07-1989,,,"LINCOLN, NE",,,MKC87IA070,
,,Accident,Probable Cause,,0.0,1.0,N8191V,0.0,07-06-1989,,,"MARLIN, TX",,,FTW87FA088,
DALTON MUNI AIRPORT,,Accident,Probable Cause,,3.0,1.0,N6170U,2.0,02-05-1988,DNN,,"DALTON, GA",,,ATL87FA101,
SANTA PAULA,,Accident,Probable Cause,,2.0,1.0,N6339K,0.0,21-03-1988,SZP,,"SANTA PAULA, CA",,,LAX87LA162,
DEMING MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N58DC,1.0,02-05-1988,DMN,,"DEMING, NM",,,DEN87LA077,
,,Accident,Probable Cause,,1.0,1.0,N67767,0.0,21-03-1988,,,"NIKOLAI, AK",,,ANC87LA056,
METRO OAKLAND INTL,,Accident,Probable Cause,,0.0,1.0,N39614,1.0,27-05-1988,OAK,,"OAKLAND, CA",,,DCA87MA023B,
METRO OAKLAND INTL,,Accident,Probable Cause,,0.0,1.0,N75584,1.0,27-05-1988,OAK,,"OAKLAND, CA",,,DCA87MA023A,
,,Incident,Probable Cause,,0.0,3.0,N52DC,0.0,10-07-1989,,,"CLEVELAND, OH",,,CHI87IA112,
,,Accident,Probable Cause,,0.0,1.0,N89547,0.0,29-11-1988,,,"TRIBUNE, KS",,,MKC87LA069,
GRAND CANYON,,Accident,Probable Cause,,1.0,1.0,N9026B,0.0,16-06-1989,GCN,,"GRAND CANYON, AZ",,,LAX87LA165,
TUCSON INT'L,,Accident,Probable Cause,,0.0,1.0,N13W,0.0,29-11-1988,TUS,,"TUCSON, AZ",,,LAX87LA164,
,,Accident,Probable Cause,,0.0,1.0,N792JB,1.0,07-10-1988,,,"SAN LUIS OBISPO, CA",,,LAX87DVM02,
REAL COUNTY,,Accident,Probable Cause,,1.0,1.0,N4602R,1.0,30-03-1988,49R,,"LEAKEY, TX",,,FTW87FA087,
MIAMI INTL,,Accident,Probable Cause,,0.0,3.0,N1643,1.0,02-05-1988,MIA,"Piedmont Aviation,inc. (dba: Piedmont Airlines)","MIAMI, FL",,SCHD,ATL87LA102,
HOLSTEAD,,Accident,Probable Cause,,1.0,1.0,N733PX,,09-05-1988,22K,,"HALSTEAD, KS",,,MKC87LA073,
DODGE CITY MUNI,,Accident,Probable Cause,,0.0,1.0,N48564,0.0,29-11-1988,DDC,,"DODGE CITY, KS",,UNK,MKC87LA072,
CREVE COEUR,,Accident,Probable Cause,,0.0,1.0,N89316,0.0,09-05-1988,1HO,,"CREVE COEUR, MO",,,MKC87LA071,
HAWKINS,,Accident,Probable Cause,,0.0,1.0,N7344A,0.0,25-04-1988,HKS,,"JACKSON, MS",,,MIA87LA123,
ORLANDO EXECUTIVE,,Accident,Probable Cause,,0.0,1.0,N95904,0.0,30-03-1988,ORL,,"ORLANDO, FL",,,MIA87LA122,
LAVERNE,,Accident,Probable Cause,,0.0,1.0,N31681,0.0,02-05-1988,OK67,,"LAVERNE, OK",,,FTW87LA089,
CENTENNIAL,,Accident,Probable Cause,,0.0,1.0,N114PA,0.0,19-05-1989,APA,,"ENGLEWOOD, CO",,,DEN87LA078,
BROKEN S. RANCH,,Accident,Probable Cause,,0.0,1.0,N2510Y,1.0,02-05-1988,,,"OLIVER SPRINGS, TN",,,ATL87LA103,
MERRILL,,Accident,Probable Cause,,0.0,2.0,N967JW,0.0,19-05-1989,MRI,(dba: Wilbur's Inc.),"ANCHORAGE, AK",,SCHD,ANC87MA057,
,,Accident,Probable Cause,,0.0,1.0,N9655S,0.0,07-06-1989,,,"UPLAND, CA",,,LAX87FA167,
JEAN,Part 91: General Aviation,Accident,Probable Cause,,,,N5916H,,10-04-2014,OL7,,"JEAN, NV",Airplane,,SEA87LA072,
BRIDGEPORT,,Accident,Probable Cause,,0.0,1.0,N75336,0.0,07-10-1988,N83,,"BRIDGEPORT, NJ",,,NYC87LA110,
FORBES FIELD,,Accident,Probable Cause,,0.0,1.0,N1467F,0.0,30-03-1988,FOE,,"TOPEKA, KS",,,MKC87LA074,
OPA LOCKA,,Accident,Probable Cause,,0.0,2.0,N6880T,0.0,02-05-1988,OPF,,"MIAMI, FL",,,MIA87LA130,
,,Accident,Probable Cause,,0.0,2.0,N25NA,0.0,02-05-1988,,,"TITUSVILLE, FL",,,MIA87LA125,
,,Accident,Probable Cause,,0.0,,N7321R,4.0,05-07-1988,,,"FT. LAUDERDALE, FL",,,MIA87FA124,
,,Accident,Probable Cause,,1.0,1.0,N4450E,0.0,09-05-1988,,,"UVALDE, TX",,,FTW87FA090,
,,Accident,Probable Cause,,1.0,1.0,N8356F,0.0,09-05-1988,,,"FORKS, WA",,UNK,SEA87LA074,
,,Accident,Probable Cause,,0.0,1.0,N1653G,1.0,10-03-1988,,,"ROCK ROVER, WY",,,DEN87LA082,
MORGAN MUNICIPAL,,Accident,Probable Cause,,,1.0,N3809P,4.0,02-05-1988,42U,,"MORGAN, UT",,,DEN87FA081,
,,Accident,Probable Cause,,0.0,1.0,N47887,0.0,31-08-1988,,,"RHINE, GA",,,ATL87FA104,
JOSEPHINE COUNTY,,Accident,Probable Cause,,0.0,1.0,N6901V,0.0,08-11-1988,3S8,,"GRANTS PASS, OR",,,SEA87LA128,
RIVER RANCH,,Accident,Probable Cause,,0.0,1.0,N9731G,0.0,25-04-1988,2RR,,"FROSTPROOF, FL",,,MIA87LA127,
,,Accident,Probable Cause,,0.0,2.0,N506ES,0.0,25-04-1988,,,"MIAMI, FL",,,MIA87LA126,
,,Accident,Probable Cause,,1.0,1.0,N1451D,0.0,17-02-1989,,,"ASHFORK, AZ",,,LAX87DVW01,
BOULDER MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N2323D,0.0,19-05-1989,IV5,,"BOULDER, CO",,,DEN87LA080,
LOS ALAMOS,,Accident,Probable Cause,,0.0,1.0,N91735,0.0,02-05-1988,LAM,,"LOS ALAMOS, NM",,,DEN87LA079,
,,Accident,Probable Cause,,0.0,1.0,N135HA,0.0,07-10-1988,,,"BIG LAKE, MN",,,CHI87DER03,
ALTUS MUN,,Accident,Probable Cause,,0.0,2.0,N402BC,0.0,02-05-1988,LTS,,"ALTUS, OK",,,FTW87LA092,
FULLERTON,,Accident,Probable Cause,,0.0,1.0,N5690N,0.0,30-03-1988,FUL,,"FULLERTON, CA",,,LAX87LA171A,
ALKALI STATE,,Accident,Probable Cause,,3.0,1.0,N1770J,0.0,05-07-1988,OR03,,"ALKALI LAKE, OR",,,SEA87LA076,
RENO/STEAD,,Accident,Probable Cause,,2.0,1.0,N71068,0.0,05-07-1988,4SD,,"RENO, NV",,,SEA87LA073,
LIBERAL,,Accident,Probable Cause,,0.0,1.0,N1953V,0.0,09-05-1988,LBL,,"LIBERAL, KS",,,MKC87LA075,
,,Accident,Probable Cause,,1.0,0.0,N3695B,1.0,11-01-1989,,,"KANSAS CITY, MO",,,MKC87FA067,
FULLERTON,,Accident,Probable Cause,,0.0,1.0,N5456N,0.0,30-03-1988,FUL,,"FULLERTON, CA",,,LAX87LA171B,
GALLATIN,,Accident,Probable Cause,,0.0,1.0,N5084N,0.0,10-03-1988,BZN,,"BELGRADE, MT",,,DEN87LA086,
BOULDER,,Accident,Probable Cause,,0.0,1.0,N5207E,0.0,05-07-1988,IV5,,"BOULDER, CO",,,DEN87LA083,
LEBANON MUNICIPAL,,Accident,Probable Cause,,0.0,1.0,N4974J,0.0,10-03-1988,M54,,"LEBANON, TN",,,ATL87LA108,
GAUB'S FIELD,,Accident,Probable Cause,,1.0,1.0,N3258H,0.0,05-07-1988,,,"SCOTT MILLS, OR",,,SEA87LA077,
HENRY RAHLF'S FARM STRIP,,Accident,Probable Cause,,0.0,1.0,N79179,0.0,02-05-1988,,,"MUSCATINE, IA",,,MKC87LA076,
,,Accident,Probable Cause,,0.0,1.0,N4828N,0.0,29-11-1988,,,"NEEDLES, CA",,,LAX87LA169,
,,Accident,Probable Cause,,2.0,,N3750D,1.0,30-03-1988,,,"PHOENIX, AZ",,,LAX87LA168,
,,Accident,Probable Cause,,1.0,1.0,N85397,1.0,21-03-1988,,,"HORIZON CITY, TX",,,FTW87LA091,
,,Accident,Probable Cause,,0.0,1.0,N32415,0.0,09-05-1988,,,"REDMOND, WA",,,SEA87LA075,
WARWICK,,Accident,Probable Cause,,0.0,1.0,N2833H,0.0,29-11-1988,N72,,"WARWICK, NY",,,NYC87LA116,
,,Accident,Probable Cause,,0.0,1.0,N8678V,1.0,10-03-1988,,,"NEW SMYRNA BCH, FL",,,MIA87FA129,
HEALDSBURG,,Accident,Probable Cause,,2.0,1.0,N9216K,0.0,06-10-1988,031,,"HEALDSBURG, CA",,,LAX87LA194,
CALEXICO,,Accident,Probable Cause,,0.0,1.0,N3085R,0.0,30-03-1988,CXL,,"CALEXICO, CA",,,LAX87LA170,
,,Accident,Probable Cause,,0.0,1.0,N23069,0.0,19-05-1989,,,"CONRAD, MT",,UNK,DEN87LA084,
FARRONGTON AIRPARK,,Accident,Probable Cause,,0.0,1.0,N6141S,1.0,10-03-1988,KY29,,"PADUCAH, KY",,,ATL87LA105,
VALDEZ,,Accident,Probable Cause,,0.0,1.0,N9073D,0.0,21-03-1988,VDZ,,"VALDEZ, AK",,,ANC87LA058,
,,Accident,Probable Cause,,0.0,1.0,N9663H,0.0,10-03-1988,,,"FT.LAUDERDALE, FL",,,MIA87LA128,
,,Accident,Probable Cause,,0.0,1.0,N72PB,1.0,02-05-1988,,,"LA SALLE, CO",,UNK,DEN87LA087,
,,Accident,Probable Cause,,0.0,1.0,N50305,0.0,31-08-1988,,,"TINLEY PARK, IL",,,CHI87LA108,
CANDO,,Accident,Probable Cause,,2.0,1.0,N4069X,,25-04-1988,9D7,,"CANDO, ND",,,DEN87LA085,
LANSING,,Accident,Probable Cause,,0.0,1.0,N80379,0.0,26-05-1989,3HA,,"LANSING, IL",,,CHI87DEE07,
BOSTON LOGAN,,Accident,Probable Cause,,0.0,2.0,N811BE,1.0,29-11-1988,BOS,Business Express,"BOSTON, MA",,SCHD,NYC87LA117,
,,Accident,Probable Cause,,0.0,2.0,N26863,0.0,27-12-1988,,"Resort Air,inc.","COLUMBIA, MO",,SCHD,MKC87LA080,
FT. LAUDERDALE-HOLLYWOOD,,Incident,Probable Cause,,0.0,2.0,N7665Q,0.0,10-07-1989,FLL,"Rsvp Usa,inc.","FT.LAUDERDALE, FL",,NSCH,MIA87IA131,
,,Accident,Probable Cause,,0.0,1.0,N88177,0.0,27-05-1988,,,"BERTHOLD, ND",,,DEN87FA090,
CHIGAGO O'HARE INT'L,,Incident,Probable Cause,,0.0,3.0,N7258U,0.0,10-07-1989,ORD,United Airlines,"CHICAGO, IL",,SCHD,CHI87IA109,
,,Accident,Probable Cause,,0.0,1.0,N131DE,0.0,02-11-1989,,,"ALGOMA, WI",,,CHI87DEP03,
SALT LAKE SKYPARK,,Accident,Probable Cause,,1.0,1.0,N4970B,0.0,05-07-1988,BTF,,"BOUNTIFUL, UT",,,DEN87LA089,
,,Accident,Probable Cause,,0.0,1.0,N67880,0.0,09-05-1988,,,"MILFORD, UT",,,DEN87LA088,
,,Incident,Probable Cause,,2.0,4.0,USAF,0.0,10-07-1989,,,"WRIGHTSTOWN, NJ",,,NYC87IA118B,
,,Incident,Probable Cause,,2.0,4.0,N42RA,0.0,10-07-1989,,Pan Am Express,"WRIGHTSTOWN, NJ",,SCHD,NYC87IA118A,
,,Accident,Probable Cause,,0.0,1.0,N4941Y,1.0,09-05-1988,,,"LAMAR, CO",,UNK,DEN87FA091B,
,,Accident,Probable Cause,,0.0,1.0,N8369,1.0,09-05-1988,,,"LAMAR, CO",,UNK,DEN87FA091A,
TRAVIS AFB,,Accident,Probable Cause,,0.0,4.0,N517SJ,0.0,10-10-1988,SUU,,"TRAVIS AFB, CA",,,DCA87MA024,
ELDON MODEL AIRPARK,,Accident,Probable Cause,,0.0,1.0,N2559N,0.0,16-06-1989,H79,,"ELDON, MO",,,MKC87LA101,
KIRKSVILLE MUNI,,Accident,Probable Cause,,0.0,1.0,N5515Q,0.0,31-03-1989,IRK,,"KIRKSVILLE, MO",,,MKC87LA081,
,,Accident,Probable Cause,,0.0,1.0,N8248D,0.0,08-11-1988,,,"LAKE PROVIDENCE, LA",,,FTW87LA119,
WARRENTON-FAUQUICK,,Accident,Probable Cause,,1.0,1.0,N8381Z,0.0,30-03-1988,W66,,"MIDLAND, VA",,,BFO87LA029,
